epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2282.49,1.16737,0.8306,1.14517,0.7735,0.64535,0.70935,0.45042,1.30013,0.98043,1.2359,0.00063875,0.00063875,0.00063875
57,2323.11,1.15898,0.83429,1.14286,0.76345,0.65568,0.70965,0.45226,1.30109,0.99996,1.22667,0.000614,0.000614,0.000614
58,2363.55,1.15314,0.82737,1.14207,0.78798,0.63622,0.70607,0.44779,1.30325,0.9869,1.23691,0.00058925,0.00058925,0.00058925
59,2404.06,1.14852,0.81942,1.13708,0.77456,0.64922,0.70474,0.44912,1.29385,0.98411,1.22916,0.0005645,0.0005645,0.0005645
60,2444.19,1.13925,0.80564,1.12734,0.81327,0.6274,0.70775,0.4509,1.29441,0.99453,1.23338,0.00053975,0.00053975,0.00053975
61,2484.7,1.14787,0.80864,1.12984,0.79722,0.64212,0.70706,0.44888,1.30503,0.9832,1.23505,0.000515,0.000515,0.000515
62,2524.97,1.13273,0.79942,1.12349,0.80778,0.63114,0.71176,0.45279,1.30211,0.97131,1.23303,0.00049025,0.00049025,0.00049025
63,2565.4,1.13372,0.79723,1.12476,0.76743,0.66085,0.71083,0.45366,1.30281,0.96106,1.2396,0.0004655,0.0004655,0.0004655
64,2605.9,1.12184,0.78579,1.1186,0.79652,0.64735,0.70937,0.45268,1.29345,0.96953,1.23559,0.00044075,0.00044075,0.00044075
65,2646.19,1.12094,0.78803,1.11871,0.78657,0.64858,0.70545,0.45062,1.29293,0.98405,1.23589,0.000416,0.000416,0.000416
66,2686.67,1.11185,0.77712,1.11016,0.80256,0.64535,0.70881,0.44833,1.29679,0.98025,1.23868,0.00039125,0.00039125,0.00039125
67,2727.13,1.11079,0.77965,1.11313,0.78696,0.65623,0.71097,0.4508,1.30566,0.97317,1.2499,0.0003665,0.0003665,0.0003665
68,2767.75,1.10396,0.76295,1.11149,0.80677,0.64193,0.71398,0.45187,1.30978,0.97289,1.24796,0.00034175,0.00034175,0.00034175
69,2808.18,1.1039,0.76468,1.10763,0.77646,0.66085,0.70783,0.45039,1.30814,0.98275,1.23677,0.000317,0.000317,0.000317
70,2848.7,1.09538,0.76662,1.10675,0.79458,0.64664,0.70607,0.44972,1.30514,0.98338,1.23137,0.00029225,0.00029225,0.00029225
71,2917.57,0.98081,0.62967,1.03759,0.80217,0.64959,0.7098,0.45505,1.29488,0.96203,1.23746,0.0002675,0.0002675,0.0002675
72,2957.41,0.9808,0.61614,1.03535,0.8066,0.65201,0.70954,0.45384,1.29721,0.96725,1.23974,0.00024275,0.00024275,0.00024275
73,2997.51,0.96568,0.60988,1.0293,0.79887,0.66021,0.70915,0.45216,1.29149,0.96171,1.23464,0.000218,0.000218,0.000218
74,3037.41,0.95944,0.603,1.02567,0.79276,0.6531,0.70737,0.45233,1.29873,0.9743,1.24797,0.00019325,0.00019325,0.00019325
75,3077.42,0.95747,0.59596,1.02464,0.78693,0.65181,0.70489,0.45204,1.29942,0.97079,1.24067,0.0001685,0.0001685,0.0001685
76,3117.46,0.95034,0.58621,1.02259,0.79169,0.65308,0.70606,0.45452,1.29998,0.96896,1.24318,0.00014375,0.00014375,0.00014375
77,3157.41,0.93712,0.58407,1.01786,0.79582,0.64962,0.70603,0.45245,1.29673,0.97481,1.23895,0.000119,0.000119,0.000119
78,3197.59,0.93969,0.57751,1.01549,0.79403,0.64749,0.70721,0.45308,1.29698,0.97307,1.23909,9.425e-05,9.425e-05,9.425e-05
79,3237.53,0.93432,0.5723,1.01587,0.77867,0.65439,0.70591,0.45248,1.29801,0.97286,1.24244,6.95e-05,6.95e-05,6.95e-05
80,3277.62,0.92433,0.57071,1.00774,0.79861,0.64729,0.70422,0.45309,1.30346,0.9752,1.24601,4.475e-05,4.475e-05,4.475e-05
