epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4993,1.68015,2.04266,1.44682,0.50963,0.44638,0.43277,0.22101,1.71075,1.84216,1.41125,0.00066453,0.00066453,0.00066453
2,87.6228,1.66435,1.66824,1.43841,0.57217,0.49935,0.50885,0.26655,1.59515,1.98147,1.45395,0.00131472,0.00131472,0.00131472
3,128.486,1.6464,1.56955,1.43442,0.5803,0.51163,0.49845,0.26963,1.58889,1.6394,1.40667,0.00194842,0.00194842,0.00194842
4,169.224,1.62146,1.51781,1.44136,0.65242,0.52383,0.56287,0.30942,1.56551,1.53389,1.42871,0.00192575,0.00192575,0.00192575
5,210.431,1.56482,1.43553,1.40221,0.68227,0.58204,0.60264,0.34395,1.49565,1.61992,1.39817,0.001901,0.001901,0.001901
6,251.486,1.54381,1.40016,1.39219,0.67133,0.56342,0.61537,0.36092,1.44483,1.33114,1.33721,0.00187625,0.00187625,0.00187625
7,292.89,1.49942,1.35588,1.36073,0.70673,0.56978,0.60617,0.35233,1.44491,1.4416,1.33282,0.0018515,0.0018515,0.0018515
8,334.631,1.48633,1.32744,1.35275,0.68558,0.56654,0.61556,0.36026,1.4384,1.40786,1.31784,0.00182675,0.00182675,0.00182675
9,375.709,1.48215,1.30016,1.34381,0.71088,0.57657,0.6422,0.38397,1.42795,1.26305,1.31259,0.001802,0.001802,0.001802
10,416.668,1.45241,1.269,1.34113,0.70487,0.58527,0.64145,0.38328,1.4262,1.24926,1.31972,0.00177725,0.00177725,0.00177725
11,457.471,1.45483,1.26244,1.33688,0.73592,0.57788,0.65489,0.38536,1.4364,1.21235,1.31521,0.0017525,0.0017525,0.0017525
12,498.257,1.435,1.228,1.31768,0.73838,0.59496,0.67067,0.40346,1.38127,1.19166,1.29073,0.00172775,0.00172775,0.00172775
13,538.766,1.41334,1.20076,1.31219,0.70617,0.61482,0.65658,0.39383,1.43583,1.21411,1.30699,0.001703,0.001703,0.001703
14,579.365,1.40871,1.18639,1.30453,0.77273,0.6128,0.68656,0.41435,1.38463,1.12916,1.26329,0.00167825,0.00167825,0.00167825
15,619.947,1.40025,1.17002,1.29015,0.75597,0.61305,0.67621,0.41789,1.35588,1.14925,1.27974,0.0016535,0.0016535,0.0016535
16,660.521,1.39353,1.16767,1.29003,0.76554,0.60788,0.68332,0.41782,1.36327,1.11623,1.25969,0.00162875,0.00162875,0.00162875
17,701.039,1.3881,1.1555,1.28857,0.76338,0.60917,0.68755,0.42457,1.36423,1.12203,1.28238,0.001604,0.001604,0.001604
18,741.608,1.37043,1.13603,1.27536,0.73519,0.64083,0.68897,0.42717,1.35964,1.10798,1.26776,0.00157925,0.00157925,0.00157925
19,781.986,1.36711,1.11479,1.2793,0.78885,0.6106,0.69295,0.42786,1.34649,1.08584,1.25705,0.0015545,0.0015545,0.0015545
20,822.504,1.35761,1.10518,1.26998,0.75737,0.61886,0.68803,0.422,1.3373,1.13198,1.25585,0.00152975,0.00152975,0.00152975
21,862.852,1.34203,1.09551,1.26306,0.75218,0.61563,0.6924,0.42542,1.34957,1.08317,1.25114,0.001505,0.001505,0.001505
22,903.303,1.33932,1.09343,1.26274,0.76294,0.61563,0.6933,0.43064,1.35244,1.08003,1.26023,0.00148025,0.00148025,0.00148025
23,943.482,1.33556,1.07138,1.25277,0.77441,0.60763,0.68082,0.41385,1.35165,1.12416,1.25898,0.0014555,0.0014555,0.0014555
24,984.174,1.32768,1.05963,1.25263,0.77881,0.61047,0.69027,0.42656,1.34048,1.1029,1.26571,0.00143075,0.00143075,0.00143075
25,1024.61,1.32828,1.06697,1.25313,0.75404,0.62016,0.68205,0.42113,1.34526,1.10241,1.26907,0.001406,0.001406,0.001406
26,1065.1,1.30949,1.04679,1.24483,0.73621,0.63283,0.69238,0.43085,1.33373,1.06103,1.24951,0.00138125,0.00138125,0.00138125
27,1105.87,1.32104,1.03831,1.24623,0.76195,0.63953,0.70956,0.44444,1.31704,1.02903,1.23915,0.0013565,0.0013565,0.0013565
28,1146.4,1.29929,1.02384,1.22848,0.75841,0.61886,0.70234,0.44394,1.31782,1.06349,1.22603,0.00133175,0.00133175,0.00133175
29,1186.89,1.30805,1.03664,1.23987,0.78457,0.62855,0.70954,0.44221,1.33284,1.04899,1.24435,0.001307,0.001307,0.001307
30,1227.88,1.28874,1.0169,1.22734,0.76808,0.64398,0.70547,0.44821,1.29861,1.04789,1.23423,0.00128225,0.00128225,0.00128225
31,1268.28,1.28872,1.00231,1.22003,0.75287,0.6447,0.70637,0.43953,1.32127,1.05308,1.24093,0.0012575,0.0012575,0.0012575
32,1308.86,1.28743,0.99876,1.22155,0.76344,0.64147,0.70405,0.43518,1.3062,1.05392,1.2281,0.00123275,0.00123275,0.00123275
33,1349.39,1.27852,0.98944,1.22372,0.75586,0.63889,0.69993,0.43708,1.30937,1.06904,1.24462,0.001208,0.001208,0.001208
34,1389.9,1.27285,0.98519,1.21796,0.78479,0.62726,0.70734,0.4499,1.30019,1.02591,1.2398,0.00118325,0.00118325,0.00118325
35,1430.12,1.27509,0.97703,1.21575,0.76109,0.66267,0.70921,0.44573,1.32703,1.01957,1.23947,0.0011585,0.0011585,0.0011585
36,1470.45,1.2718,0.96916,1.21136,0.7514,0.65604,0.71007,0.44944,1.30765,1.01548,1.23146,0.00113375,0.00113375,0.00113375
37,1510.68,1.26483,0.96979,1.20248,0.78186,0.63437,0.70192,0.44353,1.31625,1.00581,1.24727,0.001109,0.001109,0.001109
38,1551.12,1.2526,0.95157,1.20201,0.7599,0.65426,0.70449,0.43946,1.33114,1.02715,1.24172,0.00108425,0.00108425,0.00108425
39,1592.01,1.25197,0.93889,1.19354,0.77971,0.63108,0.7061,0.44495,1.31259,1.03371,1.2357,0.0010595,0.0010595,0.0010595
40,1632.75,1.24252,0.94496,1.19245,0.81396,0.63372,0.71683,0.45029,1.31557,0.98911,1.22375,0.00103475,0.00103475,0.00103475
41,1673.86,1.23973,0.93656,1.18799,0.79331,0.63722,0.70813,0.4484,1.31725,1.00844,1.23795,0.00101,0.00101,0.00101
42,1714.75,1.23106,0.92427,1.18239,0.76063,0.65568,0.71907,0.45559,1.30111,0.99424,1.22941,0.00098525,0.00098525,0.00098525
43,1755.52,1.217,0.90148,1.17457,0.796,0.64406,0.71404,0.44663,1.31723,0.9923,1.25315,0.0009605,0.0009605,0.0009605
44,1796.12,1.21623,0.90205,1.18122,0.78054,0.65052,0.71207,0.44972,1.30952,0.98992,1.2381,0.00093575,0.00093575,0.00093575
45,1837.15,1.21829,0.90091,1.17187,0.7967,0.64729,0.70762,0.44527,1.31874,1.00002,1.23793,0.000911,0.000911,0.000911
46,1877.93,1.20808,0.90099,1.17046,0.78603,0.64786,0.71868,0.45123,1.30368,0.97449,1.22478,0.00088625,0.00088625,0.00088625
47,1918.11,1.20023,0.8898,1.17004,0.80597,0.64402,0.72053,0.45234,1.30298,0.96369,1.23203,0.0008615,0.0008615,0.0008615
48,1958.4,1.20348,0.88543,1.16809,0.79757,0.63889,0.71639,0.44852,1.311,0.97141,1.23196,0.00083675,0.00083675,0.00083675
49,1998.56,1.19141,0.87354,1.16289,0.75519,0.67356,0.71928,0.45288,1.30301,0.97232,1.23093,0.000812,0.000812,0.000812
50,2039.05,1.19436,0.87517,1.15764,0.77829,0.65891,0.71596,0.45534,1.29188,0.98253,1.22528,0.00078725,0.00078725,0.00078725
51,2079.44,1.18455,0.86411,1.15634,0.77431,0.64276,0.70419,0.44596,1.30925,0.99558,1.23519,0.0007625,0.0007625,0.0007625
52,2119.91,1.18184,0.86191,1.15565,0.77049,0.64729,0.7083,0.45182,1.30393,0.9864,1.22678,0.00073775,0.00073775,0.00073775
53,2160.49,1.17269,0.84254,1.15017,0.75005,0.66667,0.71018,0.44973,1.30392,0.9872,1.24065,0.000713,0.000713,0.000713
54,2201.3,1.17433,0.84288,1.14857,0.79535,0.62514,0.70354,0.44839,1.30385,1.00507,1.23499,0.00068825,0.00068825,0.00068825
55,2242.03,1.16296,0.83923,1.14685,0.80558,0.63501,0.7088,0.45321,1.29724,0.98642,1.23011,0.0006635,0.0006635,0.0006635
